Year,State,Metric,Age Range,"Events per 1,000 women"
2009,WV,Pregnancy Rate,15-17,34.7
2010,WV,Pregnancy Rate,15-17,31.8
2011,WV,Pregnancy Rate,15-17,29.4
2012,WV,Pregnancy Rate,15-17,27.6
2013,WV,Pregnancy Rate,15-17,23.6
2014,WV,Pregnancy Rate,15-17,21.4
2015,WV,Pregnancy Rate,15-17,17.0
2016,WV,Pregnancy Rate,15-17,16.3
1988,WI,Pregnancy Rate,15-17,48.9
1992,WI,Pregnancy Rate,15-17,42.5
1996,WI,Pregnancy Rate,15-17,37.2
2000,WI,Pregnancy Rate,15-17,30.1
2005,WI,Pregnancy Rate,15-17,23.7
2006,WI,Pregnancy Rate,15-17,23.8
2007,WI,Pregnancy Rate,15-17,24.2
2008,WI,Pregnancy Rate,15-17,23.3
2009,WI,Pregnancy Rate,15-17,21.4
2010,WI,Pregnancy Rate,15-17,18.5
2011,WI,Pregnancy Rate,15-17,16.3
2012,WI,Pregnancy Rate,15-17,15.6
2013,WI,Pregnancy Rate,15-17,12.6
2014,WI,Pregnancy Rate,15-17,11.4
2015,WI,Pregnancy Rate,15-17,10.4
2016,WI,Pregnancy Rate,15-17,9.7
1988,WY,Pregnancy Rate,15-17,48.6
1992,WY,Pregnancy Rate,15-17,41.1
1996,WY,Pregnancy Rate,15-17,48.5
2000,WY,Pregnancy Rate,15-17,40.0
2005,WY,Pregnancy Rate,15-17,30.0
2006,WY,Pregnancy Rate,15-17,28.9
2007,WY,Pregnancy Rate,15-17,33.2
2008,WY,Pregnancy Rate,15-17,33.3
2009,WY,Pregnancy Rate,15-17,28.2
2010,WY,Pregnancy Rate,15-17,25.7
2011,WY,Pregnancy Rate,15-17,22.6
2012,WY,Pregnancy Rate,15-17,20.1
2013,WY,Pregnancy Rate,15-17,18.7
2014,WY,Pregnancy Rate,15-17,17.6
2015,WY,Pregnancy Rate,15-17,14.5
2016,WY,Pregnancy Rate,15-17,13.6
1988,AL,Pregnancy Rate,20-24,186.5
1992,AL,Pregnancy Rate,20-24,184.2
1996,AL,Pregnancy Rate,20-24,176.6
2000,AL,Pregnancy Rate,20-24,186.8
2005,AL,Pregnancy Rate,20-24,165.8
2006,AL,Pregnancy Rate,20-24,171.6
2007,AL,Pregnancy Rate,20-24,175.1
2008,AL,Pregnancy Rate,20-24,171.4
2009,AL,Pregnancy Rate,20-24,160.6
2010,AL,Pregnancy Rate,20-24,148.8
2011,AL,Pregnancy Rate,20-24,142.7
2012,AL,Pregnancy Rate,20-24,134.7
2013,AL,Pregnancy Rate,20-24,134.6
2014,AL,Pregnancy Rate,20-24,134.4
2015,AL,Pregnancy Rate,20-24,135.9
2016,AL,Pregnancy Rate,20-24,133.1
1988,AK,Pregnancy Rate,20-24,241.6
1992,AK,Pregnancy Rate,20-24,291.5
1996,AK,Pregnancy Rate,20-24,231.5
2000,AK,Pregnancy Rate,20-24,208.8
2005,AK,Pregnancy Rate,20-24,189.8
2006,AK,Pregnancy Rate,20-24,193.9
2007,AK,Pregnancy Rate,20-24,193.0
2008,AK,Pregnancy Rate,20-24,197.6
2009,AK,Pregnancy Rate,20-24,185.4
2010,AK,Pregnancy Rate,20-24,191.1
2011,AK,Pregnancy Rate,20-24,182.4
2012,AK,Pregnancy Rate,20-24,163.8
2013,AK,Pregnancy Rate,20-24,159.3
2014,AK,Pregnancy Rate,20-24,160.4
2015,AK,Pregnancy Rate,20-24,151.5
2016,AK,Pregnancy Rate,20-24,145.7
1988,AZ,Pregnancy Rate,20-24,228.7
1992,AZ,Pregnancy Rate,20-24,225.2
1996,AZ,Pregnancy Rate,20-24,215.4
2000,AZ,Pregnancy Rate,20-24,203.4
2005,AZ,Pregnancy Rate,20-24,198.0
2006,AZ,Pregnancy Rate,20-24,204.0
2007,AZ,Pregnancy Rate,20-24,195.5
2008,AZ,Pregnancy Rate,20-24,187.3
2009,AZ,Pregnancy Rate,20-24,167.8
2010,AZ,Pregnancy Rate,20-24,151.0
2011,AZ,Pregnancy Rate,20-24,143.9
2012,AZ,Pregnancy Rate,20-24,137.3
2013,AZ,Pregnancy Rate,20-24,131.9
2014,AZ,Pregnancy Rate,20-24,128.4
2015,AZ,Pregnancy Rate,20-24,124.5
2016,AZ,Pregnancy Rate,20-24,121.9
1988,AR,Pregnancy Rate,20-24,196.1
1992,AR,Pregnancy Rate,20-24,207.9
1996,AR,Pregnancy Rate,20-24,190.2
2000,AR,Pregnancy Rate,20-24,194.9
2005,AR,Pregnancy Rate,20-24,183.4
2006,AR,Pregnancy Rate,20-24,193.6
2007,AR,Pregnancy Rate,20-24,195.6
2008,AR,Pregnancy Rate,20-24,186.9
2009,AR,Pregnancy Rate,20-24,180.3
2010,AR,Pregnancy Rate,20-24,166.9
2011,AR,Pregnancy Rate,20-24,160.9
2012,AR,Pregnancy Rate,20-24,157.2
2013,AR,Pregnancy Rate,20-24,151.1
2014,AR,Pregnancy Rate,20-24,150.6
2015,AR,Pregnancy Rate,20-24,149.0
2016,AR,Pregnancy Rate,20-24,146.4
1988,CA,Pregnancy Rate,20-24,241.7
1992,CA,Pregnancy Rate,20-24,265.6
1996,CA,Pregnancy Rate,20-24,231.6
2000,CA,Pregnancy Rate,20-24,202.9
2005,CA,Pregnancy Rate,20-24,178.2
2006,CA,Pregnancy Rate,20-24,184.1
2007,CA,Pregnancy Rate,20-24,184.1
2008,CA,Pregnancy Rate,20-24,174.1
2009,CA,Pregnancy Rate,20-24,160.3
2010,CA,Pregnancy Rate,20-24,147.9
2011,CA,Pregnancy Rate,20-24,136.3
2012,CA,Pregnancy Rate,20-24,130.1
2013,CA,Pregnancy Rate,20-24,124.0
2014,CA,Pregnancy Rate,20-24,119.8
2015,CA,Pregnancy Rate,20-24,113.3
2016,CA,Pregnancy Rate,20-24,107.8
1988,CO,Pregnancy Rate,20-24,187.1
1992,CO,Pregnancy Rate,20-24,191.1
1996,CO,Pregnancy Rate,20-24,169.5
2000,CO,Pregnancy Rate,20-24,163.3
2005,CO,Pregnancy Rate,20-24,154.3
2006,CO,Pregnancy Rate,20-24,156.0
2007,CO,Pregnancy Rate,20-24,154.7
2008,CO,Pregnancy Rate,20-24,151.3
2009,CO,Pregnancy Rate,20-24,142.6
2010,CO,Pregnancy Rate,20-24,133.4
2011,CO,Pregnancy Rate,20-24,122.4
2012,CO,Pregnancy Rate,20-24,118.1
2013,CO,Pregnancy Rate,20-24,111.3
2014,CO,Pregnancy Rate,20-24,111.7
2015,CO,Pregnancy Rate,20-24,106.9
2016,CO,Pregnancy Rate,20-24,100.0
1988,CT,Pregnancy Rate,20-24,158.1
1992,CT,Pregnancy Rate,20-24,157.6
1996,CT,Pregnancy Rate,20-24,146.0
2000,CT,Pregnancy Rate,20-24,147.2
2005,CT,Pregnancy Rate,20-24,144.8
2006,CT,Pregnancy Rate,20-24,145.2
2007,CT,Pregnancy Rate,20-24,143.5
2008,CT,Pregnancy Rate,20-24,138.6
2009,CT,Pregnancy Rate,20-24,130.1
2010,CT,Pregnancy Rate,20-24,120.3
2011,CT,Pregnancy Rate,20-24,117.6
2012,CT,Pregnancy Rate,20-24,111.7
2013,CT,Pregnancy Rate,20-24,104.9
2014,CT,Pregnancy Rate,20-24,97.0
2015,CT,Pregnancy Rate,20-24,88.7
2016,CT,Pregnancy Rate,20-24,82.0
1988,DE,Pregnancy Rate,20-24,179.7
1992,DE,Pregnancy Rate,20-24,175.3
1996,DE,Pregnancy Rate,20-24,157.4
2000,DE,Pregnancy Rate,20-24,178.5
2005,DE,Pregnancy Rate,20-24,177.7
2006,DE,Pregnancy Rate,20-24,189.9
2007,DE,Pregnancy Rate,20-24,201.8
2008,DE,Pregnancy Rate,20-24,189.7
2009,DE,Pregnancy Rate,20-24,176.8
2010,DE,Pregnancy Rate,20-24,166.0
2011,DE,Pregnancy Rate,20-24,152.0
2012,DE,Pregnancy Rate,20-24,139.8
2013,DE,Pregnancy Rate,20-24,126.3
2014,DE,Pregnancy Rate,20-24,124.6
2015,DE,Pregnancy Rate,20-24,124.4
2016,DE,Pregnancy Rate,20-24,116.2
2000,DC,Pregnancy Rate,20-24,154.5
2005,DC,Pregnancy Rate,20-24,152.3
2006,DC,Pregnancy Rate,20-24,139.3
2007,DC,Pregnancy Rate,20-24,130.3
2008,DC,Pregnancy Rate,20-24,129.9
2009,DC,Pregnancy Rate,20-24,116.3
2010,DC,Pregnancy Rate,20-24,105.2
2011,DC,Pregnancy Rate,20-24,106.3
2012,DC,Pregnancy Rate,20-24,107.9
2013,DC,Pregnancy Rate,20-24,113.7
2014,DC,Pregnancy Rate,20-24,119.8
2015,DC,Pregnancy Rate,20-24,109.5
2016,DC,Pregnancy Rate,20-24,95.2
1988,FL,Pregnancy Rate,20-24,205.1
1992,FL,Pregnancy Rate,20-24,211.3
1996,FL,Pregnancy Rate,20-24,210.3
2000,FL,Pregnancy Rate,20-24,213.5
2005,FL,Pregnancy Rate,20-24,179.6
2006,FL,Pregnancy Rate,20-24,184.4
2007,FL,Pregnancy Rate,20-24,184.1
2008,FL,Pregnancy Rate,20-24,174.4
2009,FL,Pregnancy Rate,20-24,165.0
2010,FL,Pregnancy Rate,20-24,153.6
2011,FL,Pregnancy Rate,20-24,144.9
2012,FL,Pregnancy Rate,20-24,138.2
2013,FL,Pregnancy Rate,20-24,134.5
2014,FL,Pregnancy Rate,20-24,132.6
2015,FL,Pregnancy Rate,20-24,128.8
2016,FL,Pregnancy Rate,20-24,123.0
1988,GA,Pregnancy Rate,20-24,195.6
1992,GA,Pregnancy Rate,20-24,205.3
1996,GA,Pregnancy Rate,20-24,183.5
2000,GA,Pregnancy Rate,20-24,192.9
2005,GA,Pregnancy Rate,20-24,184.4
2006,GA,Pregnancy Rate,20-24,189.8
2007,GA,Pregnancy Rate,20-24,189.1
2008,GA,Pregnancy Rate,20-24,186.2
2009,GA,Pregnancy Rate,20-24,173.6
2010,GA,Pregnancy Rate,20-24,160.2
2011,GA,Pregnancy Rate,20-24,153.3
2012,GA,Pregnancy Rate,20-24,147.8
2013,GA,Pregnancy Rate,20-24,142.3
2014,GA,Pregnancy Rate,20-24,138.5
2015,GA,Pregnancy Rate,20-24,137.2
2016,GA,Pregnancy Rate,20-24,132.1
1988,HI,Pregnancy Rate,20-24,244.6
1992,HI,Pregnancy Rate,20-24,286.9
1996,HI,Pregnancy Rate,20-24,213.4
2000,HI,Pregnancy Rate,20-24,185.4
2005,HI,Pregnancy Rate,20-24,165.4
2006,HI,Pregnancy Rate,20-24,174.6
2007,HI,Pregnancy Rate,20-24,178.6
2008,HI,Pregnancy Rate,20-24,176.3
2009,HI,Pregnancy Rate,20-24,167.1
2010,HI,Pregnancy Rate,20-24,167.1
2011,HI,Pregnancy Rate,20-24,162.3
2012,HI,Pregnancy Rate,20-24,148.7
2013,HI,Pregnancy Rate,20-24,146.3
2014,HI,Pregnancy Rate,20-24,132.6
2015,HI,Pregnancy Rate,20-24,127.4
2016,HI,Pregnancy Rate,20-24,121.6
1988,ID,Pregnancy Rate,20-24,205.3
1992,ID,Pregnancy Rate,20-24,202.6
1996,ID,Pregnancy Rate,20-24,185.8
2000,ID,Pregnancy Rate,20-24,190.1
2005,ID,Pregnancy Rate,20-24,181.5
2006,ID,Pregnancy Rate,20-24,188.6
2007,ID,Pregnancy Rate,20-24,190.4
2008,ID,Pregnancy Rate,20-24,183.0
2009,ID,Pregnancy Rate,20-24,169.8
2010,ID,Pregnancy Rate,20-24,158.4
2011,ID,Pregnancy Rate,20-24,149.9
2012,ID,Pregnancy Rate,20-24,150.9
2013,ID,Pregnancy Rate,20-24,141.3
2014,ID,Pregnancy Rate,20-24,148.4
2015,ID,Pregnancy Rate,20-24,141.9
2016,ID,Pregnancy Rate,20-24,137.7
1988,IL,Pregnancy Rate,20-24,186.0
1992,IL,Pregnancy Rate,20-24,196.4
1996,IL,Pregnancy Rate,20-24,184.6
2000,IL,Pregnancy Rate,20-24,173.4
2005,IL,Pregnancy Rate,20-24,147.9
2006,IL,Pregnancy Rate,20-24,151.2
2007,IL,Pregnancy Rate,20-24,149.5
2008,IL,Pregnancy Rate,20-24,148.7
2009,IL,Pregnancy Rate,20-24,138.4
2010,IL,Pregnancy Rate,20-24,128.6
2011,IL,Pregnancy Rate,20-24,123.6
2012,IL,Pregnancy Rate,20-24,120.2
2013,IL,Pregnancy Rate,20-24,116.8
2014,IL,Pregnancy Rate,20-24,115.3
2015,IL,Pregnancy Rate,20-24,112.7
2016,IL,Pregnancy Rate,20-24,106.8
1988,IN,Pregnancy Rate,20-24,173.1
1992,IN,Pregnancy Rate,20-24,175.1
1996,IN,Pregnancy Rate,20-24,169.6
2000,IN,Pregnancy Rate,20-24,172.4
2005,IN,Pregnancy Rate,20-24,157.1
2006,IN,Pregnancy Rate,20-24,160.9
2007,IN,Pregnancy Rate,20-24,160.6
2008,IN,Pregnancy Rate,20-24,157.9
2009,IN,Pregnancy Rate,20-24,149.8
2010,IN,Pregnancy Rate,20-24,139.3
2011,IN,Pregnancy Rate,20-24,133.4
2012,IN,Pregnancy Rate,20-24,130.4
2013,IN,Pregnancy Rate,20-24,127.9
2014,IN,Pregnancy Rate,20-24,125.6
2015,IN,Pregnancy Rate,20-24,123.9
2016,IN,Pregnancy Rate,20-24,119.6
1988,IA,Pregnancy Rate,20-24,160.7
1992,IA,Pregnancy Rate,20-24,148.9
1996,IA,Pregnancy Rate,20-24,141.3
2000,IA,Pregnancy Rate,20-24,143.2
2005,IA,Pregnancy Rate,20-24,137.1
2006,IA,Pregnancy Rate,20-24,141.5
2007,IA,Pregnancy Rate,20-24,143.9
2008,IA,Pregnancy Rate,20-24,139.0
2009,IA,Pregnancy Rate,20-24,133.9
2010,IA,Pregnancy Rate,20-24,128.2
2011,IA,Pregnancy Rate,20-24,120.0
2012,IA,Pregnancy Rate,20-24,116.9
2013,IA,Pregnancy Rate,20-24,110.6
2014,IA,Pregnancy Rate,20-24,106.8
2015,IA,Pregnancy Rate,20-24,102.0
2016,IA,Pregnancy Rate,20-24,100.2
1988,KS,Pregnancy Rate,20-24,176.7
1992,KS,Pregnancy Rate,20-24,176.2
1996,KS,Pregnancy Rate,20-24,165.9
2000,KS,Pregnancy Rate,20-24,172.8
2005,KS,Pregnancy Rate,20-24,153.7
2006,KS,Pregnancy Rate,20-24,156.1
2007,KS,Pregnancy Rate,20-24,160.5
2008,KS,Pregnancy Rate,20-24,160.0
2009,KS,Pregnancy Rate,20-24,154.0
2010,KS,Pregnancy Rate,20-24,146.0
2011,KS,Pregnancy Rate,20-24,137.6
2012,KS,Pregnancy Rate,20-24,133.6
2013,KS,Pregnancy Rate,20-24,124.9
2014,KS,Pregnancy Rate,20-24,120.5
2015,KS,Pregnancy Rate,20-24,118.0
2016,KS,Pregnancy Rate,20-24,111.8
1988,KY,Pregnancy Rate,20-24,160.3
1992,KY,Pregnancy Rate,20-24,171.5
1996,KY,Pregnancy Rate,20-24,157.9
2000,KY,Pregnancy Rate,20-24,168.2
2005,KY,Pregnancy Rate,20-24,156.2
2006,KY,Pregnancy Rate,20-24,163.0
2007,KY,Pregnancy Rate,20-24,167.1
2008,KY,Pregnancy Rate,20-24,165.4
2009,KY,Pregnancy Rate,20-24,161.2
2010,KY,Pregnancy Rate,20-24,152.2
2011,KY,Pregnancy Rate,20-24,144.3
2012,KY,Pregnancy Rate,20-24,142.0
2013,KY,Pregnancy Rate,20-24,138.0
2014,KY,Pregnancy Rate,20-24,137.6
2015,KY,Pregnancy Rate,20-24,137.3
2016,KY,Pregnancy Rate,20-24,131.2
1988,LA,Pregnancy Rate,20-24,189.1
1992,LA,Pregnancy Rate,20-24,183.8
1996,LA,Pregnancy Rate,20-24,175.1
2000,LA,Pregnancy Rate,20-24,185.8
2005,LA,Pregnancy Rate,20-24,155.5
2006,LA,Pregnancy Rate,20-24,180.9
2007,LA,Pregnancy Rate,20-24,188.7
2008,LA,Pregnancy Rate,20-24,184.4
2009,LA,Pregnancy Rate,20-24,175.9
2010,LA,Pregnancy Rate,20-24,161.7
2011,LA,Pregnancy Rate,20-24,153.2
2012,LA,Pregnancy Rate,20-24,150.0
2013,LA,Pregnancy Rate,20-24,148.3
2014,LA,Pregnancy Rate,20-24,148.3
2015,LA,Pregnancy Rate,20-24,150.1
2016,LA,Pregnancy Rate,20-24,146.5
1988,ME,Pregnancy Rate,20-24,169.6
1992,ME,Pregnancy Rate,20-24,162.0
1996,ME,Pregnancy Rate,20-24,141.2
2000,ME,Pregnancy Rate,20-24,143.6
2005,ME,Pregnancy Rate,20-24,134.2
2006,ME,Pregnancy Rate,20-24,139.2
2007,ME,Pregnancy Rate,20-24,141.1
2008,ME,Pregnancy Rate,20-24,136.5
2009,ME,Pregnancy Rate,20-24,133.2
2010,ME,Pregnancy Rate,20-24,124.1
2011,ME,Pregnancy Rate,20-24,118.8
2012,ME,Pregnancy Rate,20-24,112.9
2013,ME,Pregnancy Rate,20-24,111.3
2014,ME,Pregnancy Rate,20-24,107.7
2015,ME,Pregnancy Rate,20-24,103.6
2016,ME,Pregnancy Rate,20-24,97.6
1988,MD,Pregnancy Rate,20-24,192.9
1992,MD,Pregnancy Rate,20-24,203.7
1996,MD,Pregnancy Rate,20-24,186.8
2000,MD,Pregnancy Rate,20-24,194.2
2005,MD,Pregnancy Rate,20-24,169.8
2006,MD,Pregnancy Rate,20-24,167.5
2007,MD,Pregnancy Rate,20-24,163.2
2008,MD,Pregnancy Rate,20-24,160.9
2009,MD,Pregnancy Rate,20-24,156.4
2010,MD,Pregnancy Rate,20-24,149.4
2011,MD,Pregnancy Rate,20-24,147.4
2012,MD,Pregnancy Rate,20-24,139.9
2013,MD,Pregnancy Rate,20-24,131.6
2014,MD,Pregnancy Rate,20-24,128.0
2015,MD,Pregnancy Rate,20-24,123.5
2016,MD,Pregnancy Rate,20-24,117.5
1988,MA,Pregnancy Rate,20-24,136.7
1992,MA,Pregnancy Rate,20-24,137.7
1996,MA,Pregnancy Rate,20-24,137.8
2000,MA,Pregnancy Rate,20-24,117.8
2005,MA,Pregnancy Rate,20-24,111.2
2006,MA,Pregnancy Rate,20-24,110.3
2007,MA,Pregnancy Rate,20-24,107.9
2008,MA,Pregnancy Rate,20-24,106.0
2009,MA,Pregnancy Rate,20-24,100.5
2010,MA,Pregnancy Rate,20-24,94.5
2011,MA,Pregnancy Rate,20-24,93.0
2012,MA,Pregnancy Rate,20-24,89.5
2013,MA,Pregnancy Rate,20-24,81.2
2014,MA,Pregnancy Rate,20-24,77.29999999999998
2015,MA,Pregnancy Rate,20-24,72.09999999999998
2016,MA,Pregnancy Rate,20-24,66.3
1988,MI,Pregnancy Rate,20-24,182.2
1992,MI,Pregnancy Rate,20-24,185.5
1996,MI,Pregnancy Rate,20-24,168.7
2000,MI,Pregnancy Rate,20-24,174.1
2005,MI,Pregnancy Rate,20-24,152.0
2006,MI,Pregnancy Rate,20-24,150.5
2007,MI,Pregnancy Rate,20-24,148.4
2008,MI,Pregnancy Rate,20-24,146.8
2009,MI,Pregnancy Rate,20-24,141.6
2010,MI,Pregnancy Rate,20-24,134.2
2011,MI,Pregnancy Rate,20-24,130.0
2012,MI,Pregnancy Rate,20-24,125.2
2013,MI,Pregnancy Rate,20-24,122.6
2014,MI,Pregnancy Rate,20-24,119.6
2015,MI,Pregnancy Rate,20-24,114.2
2016,MI,Pregnancy Rate,20-24,110.1
1988,MN,Pregnancy Rate,20-24,151.5
1992,MN,Pregnancy Rate,20-24,143.9
1996,MN,Pregnancy Rate,20-24,134.9
2000,MN,Pregnancy Rate,20-24,135.3
2005,MN,Pregnancy Rate,20-24,128.6
2006,MN,Pregnancy Rate,20-24,131.9
2007,MN,Pregnancy Rate,20-24,132.7
2008,MN,Pregnancy Rate,20-24,126.6
2009,MN,Pregnancy Rate,20-24,120.9
2010,MN,Pregnancy Rate,20-24,112.3
2011,MN,Pregnancy Rate,20-24,107.1
2012,MN,Pregnancy Rate,20-24,105.1
2013,MN,Pregnancy Rate,20-24,98.9
2014,MN,Pregnancy Rate,20-24,94.5
2015,MN,Pregnancy Rate,20-24,89.59999999999998
2016,MN,Pregnancy Rate,20-24,85.4
1988,MS,Pregnancy Rate,20-24,178.3
1992,MS,Pregnancy Rate,20-24,190.5
1996,MS,Pregnancy Rate,20-24,183.0
2000,MS,Pregnancy Rate,20-24,202.1
2005,MS,Pregnancy Rate,20-24,188.5
2006,MS,Pregnancy Rate,20-24,208.5
2007,MS,Pregnancy Rate,20-24,207.5
2008,MS,Pregnancy Rate,20-24,202.2
2009,MS,Pregnancy Rate,20-24,190.0
2010,MS,Pregnancy Rate,20-24,171.7
2011,MS,Pregnancy Rate,20-24,168.2
2012,MS,Pregnancy Rate,20-24,157.7
2013,MS,Pregnancy Rate,20-24,152.0
2014,MS,Pregnancy Rate,20-24,154.4
2015,MS,Pregnancy Rate,20-24,150.0
2016,MS,Pregnancy Rate,20-24,146.6
1988,MO,Pregnancy Rate,20-24,181.6
1992,MO,Pregnancy Rate,20-24,178.2
1996,MO,Pregnancy Rate,20-24,165.7
2000,MO,Pregnancy Rate,20-24,170.0
2005,MO,Pregnancy Rate,20-24,159.1
2006,MO,Pregnancy Rate,20-24,165.0
2007,MO,Pregnancy Rate,20-24,167.1
2008,MO,Pregnancy Rate,20-24,162.1
2009,MO,Pregnancy Rate,20-24,155.0
2010,MO,Pregnancy Rate,20-24,142.1
2011,MO,Pregnancy Rate,20-24,137.7
2012,MO,Pregnancy Rate,20-24,132.2
2013,MO,Pregnancy Rate,20-24,127.9
2014,MO,Pregnancy Rate,20-24,123.8
2015,MO,Pregnancy Rate,20-24,122.3
2016,MO,Pregnancy Rate,20-24,120.0
1988,MT,Pregnancy Rate,20-24,180.6
1992,MT,Pregnancy Rate,20-24,189.1
1996,MT,Pregnancy Rate,20-24,155.2
2000,MT,Pregnancy Rate,20-24,160.3
2005,MT,Pregnancy Rate,20-24,141.4
2006,MT,Pregnancy Rate,20-24,149.2
2007,MT,Pregnancy Rate,20-24,153.1
2008,MT,Pregnancy Rate,20-24,150.8
2009,MT,Pregnancy Rate,20-24,145.1
2010,MT,Pregnancy Rate,20-24,139.7
2011,MT,Pregnancy Rate,20-24,137.9
2012,MT,Pregnancy Rate,20-24,128.3
2013,MT,Pregnancy Rate,20-24,126.2
2014,MT,Pregnancy Rate,20-24,115.9
2015,MT,Pregnancy Rate,20-24,113.3
2016,MT,Pregnancy Rate,20-24,108.3
1988,NE,Pregnancy Rate,20-24,166.0
1992,NE,Pregnancy Rate,20-24,166.1
1996,NE,Pregnancy Rate,20-24,145.1
2000,NE,Pregnancy Rate,20-24,147.3
2005,NE,Pregnancy Rate,20-24,139.9
2006,NE,Pregnancy Rate,20-24,139.4
2007,NE,Pregnancy Rate,20-24,143.0
2008,NE,Pregnancy Rate,20-24,142.0
2009,NE,Pregnancy Rate,20-24,138.6
2010,NE,Pregnancy Rate,20-24,132.6
2011,NE,Pregnancy Rate,20-24,125.2
2012,NE,Pregnancy Rate,20-24,120.5
2013,NE,Pregnancy Rate,20-24,118.0
2014,NE,Pregnancy Rate,20-24,112.9
2015,NE,Pregnancy Rate,20-24,105.5
2016,NE,Pregnancy Rate,20-24,99.0
1988,NV,Pregnancy Rate,20-24,237.7
1992,NV,Pregnancy Rate,20-24,280.3
1996,NV,Pregnancy Rate,20-24,259.8
2000,NV,Pregnancy Rate,20-24,225.8
2005,NV,Pregnancy Rate,20-24,209.3
2006,NV,Pregnancy Rate,20-24,211.6
2007,NV,Pregnancy Rate,20-24,205.9
2008,NV,Pregnancy Rate,20-24,191.0
2009,NV,Pregnancy Rate,20-24,180.1
2010,NV,Pregnancy Rate,20-24,167.0
2011,NV,Pregnancy Rate,20-24,157.8
2012,NV,Pregnancy Rate,20-24,149.3
2013,NV,Pregnancy Rate,20-24,145.7
2014,NV,Pregnancy Rate,20-24,149.4
2015,NV,Pregnancy Rate,20-24,149.1
2016,NV,Pregnancy Rate,20-24,141.4
1988,NH,Pregnancy Rate,20-24,167.9
1992,NH,Pregnancy Rate,20-24,138.2
1996,NH,Pregnancy Rate,20-24,142.3
2000,NH,Pregnancy Rate,20-24,132.1
2005,NH,Pregnancy Rate,20-24,107.6
2006,NH,Pregnancy Rate,20-24,111.3
2007,NH,Pregnancy Rate,20-24,109.6
2008,NH,Pregnancy Rate,20-24,107.8
2009,NH,Pregnancy Rate,20-24,105.6
2010,NH,Pregnancy Rate,20-24,101.9
2011,NH,Pregnancy Rate,20-24,100.5
2012,NH,Pregnancy Rate,20-24,87.79999999999998
2013,NH,Pregnancy Rate,20-24,81.09999999999998
2014,NH,Pregnancy Rate,20-24,79.0
2015,NH,Pregnancy Rate,20-24,72.09999999999998
2016,NH,Pregnancy Rate,20-24,67.9
1988,NJ,Pregnancy Rate,20-24,178.8
1992,NJ,Pregnancy Rate,20-24,185.3
1996,NJ,Pregnancy Rate,20-24,186.6
2000,NJ,Pregnancy Rate,20-24,195.3
2005,NJ,Pregnancy Rate,20-24,174.5
2006,NJ,Pregnancy Rate,20-24,173.3
2007,NJ,Pregnancy Rate,20-24,171.0
2008,NJ,Pregnancy Rate,20-24,163.6
2009,NJ,Pregnancy Rate,20-24,156.2
2010,NJ,Pregnancy Rate,20-24,147.9
2011,NJ,Pregnancy Rate,20-24,140.8
2012,NJ,Pregnancy Rate,20-24,131.5
2013,NJ,Pregnancy Rate,20-24,124.2
2014,NJ,Pregnancy Rate,20-24,118.4
2015,NJ,Pregnancy Rate,20-24,115.6
2016,NJ,Pregnancy Rate,20-24,115.7
1988,NM,Pregnancy Rate,20-24,220.2
1992,NM,Pregnancy Rate,20-24,236.7
1996,NM,Pregnancy Rate,20-24,201.1
2000,NM,Pregnancy Rate,20-24,203.5
2005,NM,Pregnancy Rate,20-24,195.1
2006,NM,Pregnancy Rate,20-24,203.5
2007,NM,Pregnancy Rate,20-24,205.4
2008,NM,Pregnancy Rate,20-24,201.5
2009,NM,Pregnancy Rate,20-24,184.4
2010,NM,Pregnancy Rate,20-24,173.4
2011,NM,Pregnancy Rate,20-24,160.7
2012,NM,Pregnancy Rate,20-24,152.7
2013,NM,Pregnancy Rate,20-24,144.4
2014,NM,Pregnancy Rate,20-24,139.9
2015,NM,Pregnancy Rate,20-24,138.2
2016,NM,Pregnancy Rate,20-24,131.1
1988,NY,Pregnancy Rate,20-24,193.0
1992,NY,Pregnancy Rate,20-24,205.0
1996,NY,Pregnancy Rate,20-24,189.8
2000,NY,Pregnancy Rate,20-24,184.7
2005,NY,Pregnancy Rate,20-24,169.8
2006,NY,Pregnancy Rate,20-24,169.5
2007,NY,Pregnancy Rate,20-24,166.5
2008,NY,Pregnancy Rate,20-24,164.9
2009,NY,Pregnancy Rate,20-24,157.5
2010,NY,Pregnancy Rate,20-24,150.9
2011,NY,Pregnancy Rate,20-24,144.9
2012,NY,Pregnancy Rate,20-24,138.4
2013,NY,Pregnancy Rate,20-24,130.7
2014,NY,Pregnancy Rate,20-24,127.4
2015,NY,Pregnancy Rate,20-24,124.2
2016,NY,Pregnancy Rate,20-24,116.4
1988,NC,Pregnancy Rate,20-24,188.0
1992,NC,Pregnancy Rate,20-24,183.7
1996,NC,Pregnancy Rate,20-24,177.5
2000,NC,Pregnancy Rate,20-24,190.8
2005,NC,Pregnancy Rate,20-24,171.9
2006,NC,Pregnancy Rate,20-24,176.0
2007,NC,Pregnancy Rate,20-24,174.4
2008,NC,Pregnancy Rate,20-24,167.7
2009,NC,Pregnancy Rate,20-24,160.7
2010,NC,Pregnancy Rate,20-24,150.8
2011,NC,Pregnancy Rate,20-24,140.9
2012,NC,Pregnancy Rate,20-24,138.3
2013,NC,Pregnancy Rate,20-24,134.8
2014,NC,Pregnancy Rate,20-24,132.4
